,,,,,,,,,,,,,Asignatura,Nombre Asig.,Créditos Asignatura,Asig. Referenciadas,Sección,Descrip. Evento,Horario,Profesor,Sede,Cat. Paquete,Paquete,Vac. Paquete
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 1,LABORATORIO 01,LU 08:30 - 09:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC01,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 1,AYUDANTÍA OBLIGATORIA 01,MI 08:30 - 09:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC01,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 1,CÁTEDRA 01,MA JU 08:30 - 09:50,VILLAGRAN SIDNEY HERNAN,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC01,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 10,AYUDANTÍA OBLIGATORIA 05,MI 14:30 - 15:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC10,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 10,CÁTEDRA 05,LU JU 14:30 - 15:50,EREMEEV VITALIE,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC10,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 10,LABORATORIO 10,MA 14:30 - 15:50,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC10,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 11,LABORATORIO 11,MI 14:30 - 15:50,RIVERA JOSÉ RICARDO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC11,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 11,CÁTEDRA 06,LU JU 14:30 - 15:50,RIVERA JOSÉ RICARDO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC11,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 11,AYUDANTÍA OBLIGATORIA 06,VI 14:30 - 15:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC11,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 12,LABORATORIO 12,MI 14:30 - 15:50,RIVERA JOSÉ RICARDO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC12,18
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 12,CÁTEDRA 06,LU JU 14:30 - 15:50,RIVERA JOSÉ RICARDO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC12,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 12,AYUDANTÍA OBLIGATORIA 06,VI 14:30 - 15:50,,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC12,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 13,LABORATORIO 13,MA 10:00 - 11:20,BARTOLO LEONARDO MAURICIO,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC13,17
,,,,,,,,,,,,,CBF1000,MECÁNICA,7,,Sección 13,CÁTEDRA 07,LU JU 10:00 - 11:20,EREMEEV VITALIE,S-SANTIAGO,Vacantes de Carrera,CBF1000_VC13,
